run_id,primitive_id,primitive_name,sem,scope,block_size,dtype,src_rank,dst_rank,buffer_bytes,n_elements,rep_idx,time_ms,bandwidth_gibps,world_size,gpu_arch,hostname,ts_unix
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,2,16777216,4194304,7,0.395618,78.9903,8,gfx942:sramecc+:xnack-,j06u19,1778487697.016
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,2,16777216,4194304,8,0.387600,80.6244,8,gfx942:sramecc+:xnack-,j06u19,1778487697.016
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,2,16777216,4194304,9,0.388042,80.5325,8,gfx942:sramecc+:xnack-,j06u19,1778487697.016
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,2,16777216,4194304,10,0.401712,77.7920,8,gfx942:sramecc+:xnack-,j06u19,1778487697.016
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,2,16777216,4194304,11,0.386398,80.8752,8,gfx942:sramecc+:xnack-,j06u19,1778487697.016
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,2,16777216,4194304,12,0.388643,80.4080,8,gfx942:sramecc+:xnack-,j06u19,1778487697.016
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,2,16777216,4194304,13,0.385556,81.0518,8,gfx942:sramecc+:xnack-,j06u19,1778487697.016
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,2,16777216,4194304,14,0.382989,81.5950,8,gfx942:sramecc+:xnack-,j06u19,1778487697.016
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,2,16777216,4194304,15,0.384834,81.2038,8,gfx942:sramecc+:xnack-,j06u19,1778487697.016
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,2,16777216,4194304,16,0.382549,81.6889,8,gfx942:sramecc+:xnack-,j06u19,1778487697.016
