row_id,timestamp,gpu,dcc_mode,ordering,block,wgp,rep,mean_us,std_us,atomic_gops_s,tcc_dcc_hit,tcc_dcc_miss,tcp_tcc_atomic_req,sq_wait_proxy,status
106,1778532409.5207415,gfx942,dcc_disabled,RELAXED,128,16,5,22.7998,1.6014,0.0898,0,0,2048,2279,ok
107,1778532409.5216382,gfx942,dcc_disabled,RELAXED,128,16,6,23.0902,2.1620,0.0887,0,0,2048,2309,ok
108,1778532409.5225282,gfx942,dcc_disabled,RELAXED,128,16,7,22.8077,1.8139,0.0898,0,0,2048,2280,ok
109,1778532409.5234177,gfx942,dcc_disabled,RELAXED,128,16,8,22.7416,2.1560,0.0901,0,0,2048,2274,ok
110,1778532409.5243137,gfx942,dcc_disabled,RELAXED,128,16,9,22.7335,1.4124,0.0901,0,0,2048,2273,ok
111,1778532409.5252073,gfx942,dcc_disabled,RELAXED,128,16,10,23.3049,1.6626,0.0879,0,0,2048,2330,ok
112,1778532409.5261123,gfx942,dcc_disabled,RELAXED,128,16,11,23.1766,1.6896,0.0884,0,0,2048,2317,ok
113,1778532409.5270019,gfx942,dcc_disabled,RELAXED,128,16,12,23.0924,1.7092,0.0887,0,0,2048,2309,ok
114,1778532409.5279002,gfx942,dcc_disabled,RELAXED,128,16,13,23.2468,2.2166,0.0881,0,0,2048,2324,ok
115,1778532409.528789,gfx942,dcc_disabled,RELAXED,128,16,14,23.1505,2.1644,0.0885,0,0,2048,2315,ok
116,1778532409.529698,gfx942,dcc_disabled,RELAXED,128,16,15,22.6353,2.1770,0.0905,0,0,2048,2263,ok
117,1778532409.5306048,gfx942,dcc_disabled,RELAXED,128,16,16,23.1285,2.0185,0.0885,0,0,2048,2312,ok
118,1778532409.5315137,gfx942,dcc_disabled,RELAXED,128,16,17,23.2869,1.9902,0.0879,0,0,2048,2328,ok
119,1778532409.5324087,gfx942,dcc_disabled,RELAXED,128,16,18,23.5294,1.9912,0.0870,0,0,2048,2352,ok
120,1778532409.533302,gfx942,dcc_disabled,RELAXED,128,16,19,22.9180,1.4117,0.0894,0,0,2048,2291,ok
121,1778532409.534189,gfx942,dcc_disabled,RELAXED,128,16,20,22.8699,1.5211,0.0895,0,0,2048,2286,ok
122,1778532409.5350761,gfx942,dcc_disabled,RELAXED,128,16,21,22.9258,1.5966,0.0893,0,0,2048,2292,ok
123,1778532409.5359704,gfx942,dcc_disabled,RELAXED,128,16,22,22.8759,1.9542,0.0895,0,0,2048,2287,ok
124,1778532409.5368707,gfx942,dcc_disabled,RELAXED,128,16,23,23.6817,1.8643,0.0865,0,0,2048,2368,ok
125,1778532409.5377808,gfx942,dcc_disabled,RELAXED,128,16,24,23.2728,2.0742,0.0880,0,0,2048,2327,ok
126,1778532409.5386734,gfx942,dcc_disabled,RELAXED,128,32,0,23.5333,2.3097,0.1741,0,0,4096,2353,ok
127,1778532409.5395827,gfx942,dcc_disabled,RELAXED,128,32,1,23.2147,2.3126,0.1764,0,0,4096,2321,ok
128,1778532409.5404696,gfx942,dcc_disabled,RELAXED,128,32,2,23.8843,1.7250,0.1715,0,0,4096,2388,ok
129,1778532409.541384,gfx942,dcc_disabled,RELAXED,128,32,3,23.2850,1.8166,0.1759,0,0,4096,2328,ok
130,1778532409.5422723,gfx942,dcc_disabled,RELAXED,128,32,4,22.9160,1.2715,0.1787,0,0,4096,2291,ok
131,1778532409.5431612,gfx942,dcc_disabled,RELAXED,128,32,5,22.8517,1.9080,0.1792,0,0,4096,2285,ok
132,1778532409.544053,gfx942,dcc_disabled,RELAXED,128,32,6,22.7878,1.3544,0.1797,0,0,4096,2278,ok
