primitive,primitive_id,version,sem,scope,op,source_rank,destination_rank,num_ranks,n_elements,block_size,buffer_bytes,dtype,rep,latency_ms,latency_ns,algo_bw_gbps,bus_bw_gbps,paired_with,interference_slowdown,gpu_arch,node,container_image,git_sha,ts_utc
R3_ATOMIC_AND_RELAXED,R3,v47,relaxed,gpu,atomic_and,0,1,8,1024,1,4096,int32,23,0.0233730003237724,23373.00032377243,0.1632095671408138,0.1632095671408138,,1.0,gfx942,b18u43,rocm/pytorch:rocm7.2_ubuntu24.04_py3.12_pytorch_release_2.10.0,9459a5e95d01ac50bd072b9c6c498a5c8f96af16,1778479244
R3_ATOMIC_AND_RELAXED,R3,v47,relaxed,gpu,atomic_and,0,1,8,1024,1,4096,int32,24,0.0251369997859001,25136.99978590012,0.1517562675783108,0.1517562675783108,,1.0,gfx942,b18u43,rocm/pytorch:rocm7.2_ubuntu24.04_py3.12_pytorch_release_2.10.0,9459a5e95d01ac50bd072b9c6c498a5c8f96af16,1778479244
R3_ATOMIC_AND_RELAXED,R3,v47,relaxed,gpu,atomic_and,0,1,8,4096,1,16384,int32,0,0.0451029986143112,45102.99861431122,0.3383098581312146,0.3383098581312146,,1.0,gfx942,b18u43,rocm/pytorch:rocm7.2_ubuntu24.04_py3.12_pytorch_release_2.10.0,9459a5e95d01ac50bd072b9c6c498a5c8f96af16,1778479244
R3_ATOMIC_AND_RELAXED,R3,v47,relaxed,gpu,atomic_and,0,1,8,4096,1,16384,int32,1,0.0312309991568326,31230.99915683269,0.4885783188003351,0.4885783188003351,,1.0,gfx942,b18u43,rocm/pytorch:rocm7.2_ubuntu24.04_py3.12_pytorch_release_2.10.0,9459a5e95d01ac50bd072b9c6c498a5c8f96af16,1778479244
R3_ATOMIC_AND_RELAXED,R3,v47,relaxed,gpu,atomic_and,0,1,8,4096,1,16384,int32,2,0.0269409995526075,26940.999552607536,0.5663779858169051,0.5663779858169051,,1.0,gfx942,b18u43,rocm/pytorch:rocm7.2_ubuntu24.04_py3.12_pytorch_release_2.10.0,9459a5e95d01ac50bd072b9c6c498a5c8f96af16,1778479244
R3_ATOMIC_AND_RELAXED,R3,v47,relaxed,gpu,atomic_and,0,1,8,4096,1,16384,int32,3,0.0258189998567104,25818.999856710438,0.5909907102204889,0.5909907102204889,,1.0,gfx942,b18u43,rocm/pytorch:rocm7.2_ubuntu24.04_py3.12_pytorch_release_2.10.0,9459a5e95d01ac50bd072b9c6c498a5c8f96af16,1778479244
R3_ATOMIC_AND_RELAXED,R3,v47,relaxed,gpu,atomic_and,0,1,8,4096,1,16384,int32,4,0.0262589994817972,26258.99948179722,0.5810879836864088,0.5810879836864088,,1.0,gfx942,b18u43,rocm/pytorch:rocm7.2_ubuntu24.04_py3.12_pytorch_release_2.10.0,9459a5e95d01ac50bd072b9c6c498a5c8f96af16,1778479244
R3_ATOMIC_AND_RELAXED,R3,v47,relaxed,gpu,atomic_and,0,1,8,4096,1,16384,int32,5,0.02802399918437,28023.99918437004,0.5444900623252358,0.5444900623252358,,1.0,gfx942,b18u43,rocm/pytorch:rocm7.2_ubuntu24.04_py3.12_pytorch_release_2.10.0,9459a5e95d01ac50bd072b9c6c498a5c8f96af16,1778479244
R3_ATOMIC_AND_RELAXED,R3,v47,relaxed,gpu,atomic_and,0,1,8,4096,1,16384,int32,6,0.0272620003670454,27262.000367045403,0.559709076995868,0.559709076995868,,1.0,gfx942,b18u43,rocm/pytorch:rocm7.2_ubuntu24.04_py3.12_pytorch_release_2.10.0,9459a5e95d01ac50bd072b9c6c498a5c8f96af16,1778479244
R3_ATOMIC_AND_RELAXED,R3,v47,relaxed,gpu,atomic_and,0,1,8,4096,1,16384,int32,7,0.0256980005651712,25698.00056517124,0.5937733958641277,0.5937733958641277,,1.0,gfx942,b18u43,rocm/pytorch:rocm7.2_ubuntu24.04_py3.12_pytorch_release_2.10.0,9459a5e95d01ac50bd072b9c6c498a5c8f96af16,1778479244
R3_ATOMIC_AND_RELAXED,R3,v47,relaxed,gpu,atomic_and,0,1,8,4096,1,16384,int32,8,0.0284650009125471,28465.00091254711,0.5360544027164975,0.5360544027164975,,1.0,gfx942,b18u43,rocm/pytorch:rocm7.2_ubuntu24.04_py3.12_pytorch_release_2.10.0,9459a5e95d01ac50bd072b9c6c498a5c8f96af16,1778479244
R3_ATOMIC_AND_RELAXED,R3,v47,relaxed,gpu,atomic_and,0,1,8,4096,1,16384,int32,9,0.0263400003314018,26340.000331401825,0.5793010201411763,0.5793010201411763,,1.0,gfx942,b18u43,rocm/pytorch:rocm7.2_ubuntu24.04_py3.12_pytorch_release_2.10.0,9459a5e95d01ac50bd072b9c6c498a5c8f96af16,1778479244
R3_ATOMIC_AND_RELAXED,R3,v47,relaxed,gpu,atomic_and,0,1,8,4096,1,16384,int32,10,0.0262199994176626,26219.99941766262,0.5819523036381609,0.5819523036381609,,1.0,gfx942,b18u43,rocm/pytorch:rocm7.2_ubuntu24.04_py3.12_pytorch_release_2.10.0,9459a5e95d01ac50bd072b9c6c498a5c8f96af16,1778479244
R3_ATOMIC_AND_RELAXED,R3,v47,relaxed,gpu,atomic_and,0,1,8,4096,1,16384,int32,11,0.0254180002957582,25418.000295758247,0.6003143002971161,0.6003143002971161,,1.0,gfx942,b18u43,rocm/pytorch:rocm7.2_ubuntu24.04_py3.12_pytorch_release_2.10.0,9459a5e95d01ac50bd072b9c6c498a5c8f96af16,1778479244
R3_ATOMIC_AND_RELAXED,R3,v47,relaxed,gpu,atomic_and,0,1,8,4096,1,16384,int32,12,0.0256980005651712,25698.00056517124,0.5937733958641277,0.5937733958641277,,1.0,gfx942,b18u43,rocm/pytorch:rocm7.2_ubuntu24.04_py3.12_pytorch_release_2.10.0,9459a5e95d01ac50bd072b9c6c498a5c8f96af16,1778479244
R3_ATOMIC_AND_RELAXED,R3,v47,relaxed,gpu,atomic_and,0,1,8,4096,1,16384,int32,13,0.0256590005010366,25659.000501036644,0.594675894015573,0.594675894015573,,1.0,gfx942,b18u43,rocm/pytorch:rocm7.2_ubuntu24.04_py3.12_pytorch_release_2.10.0,9459a5e95d01ac50bd072b9c6c498a5c8f96af16,1778479244
R3_ATOMIC_AND_RELAXED,R3,v47,relaxed,gpu,atomic_and,0,1,8,4096,1,16384,int32,14,0.0261000003665685,26100.000366568565,0.5846279252181525,0.5846279252181525,,1.0,gfx942,b18u43,rocm/pytorch:rocm7.2_ubuntu24.04_py3.12_pytorch_release_2.10.0,9459a5e95d01ac50bd072b9c6c498a5c8f96af16,1778479244
R3_ATOMIC_AND_RELAXED,R3,v47,relaxed,gpu,atomic_and,0,1,8,4096,1,16384,int32,15,0.0246959999203681,24695.999920368195,0.6178648004414354,0.6178648004414354,,1.0,gfx942,b18u43,rocm/pytorch:rocm7.2_ubuntu24.04_py3.12_pytorch_release_2.10.0,9459a5e95d01ac50bd072b9c6c498a5c8f96af16,1778479244
R3_ATOMIC_AND_RELAXED,R3,v47,relaxed,gpu,atomic_and,0,1,8,4096,1,16384,int32,16,0.0262199994176626,26219.99941766262,0.5819523036381609,0.5819523036381609,,1.0,gfx942,b18u43,rocm/pytorch:rocm7.2_ubuntu24.04_py3.12_pytorch_release_2.10.0,9459a5e95d01ac50bd072b9c6c498a5c8f96af16,1778479244
R3_ATOMIC_AND_RELAXED,R3,v47,relaxed,gpu,atomic_and,0,1,8,4096,1,16384,int32,17,0.0256179999560117,25617.99995601177,0.595627648087306,0.595627648087306,,1.0,gfx942,b18u43,rocm/pytorch:rocm7.2_ubuntu24.04_py3.12_pytorch_release_2.10.0,9459a5e95d01ac50bd072b9c6c498a5c8f96af16,1778479244
R3_ATOMIC_AND_RELAXED,R3,v47,relaxed,gpu,atomic_and,0,1,8,4096,1,16384,int32,18,0.0251369997859001,25136.99978590012,0.6070250703132433,0.6070250703132433,,1.0,gfx942,b18u43,rocm/pytorch:rocm7.2_ubuntu24.04_py3.12_pytorch_release_2.10.0,9459a5e95d01ac50bd072b9c6c498a5c8f96af16,1778479244
R3_ATOMIC_AND_RELAXED,R3,v47,relaxed,gpu,atomic_and,0,1,8,4096,1,16384,int32,19,0.0313110016286373,31311.001628637317,0.4873299565269793,0.4873299565269793,,1.0,gfx942,b18u43,rocm/pytorch:rocm7.2_ubuntu24.04_py3.12_pytorch_release_2.10.0,9459a5e95d01ac50bd072b9c6c498a5c8f96af16,1778479244
R3_ATOMIC_AND_RELAXED,R3,v47,relaxed,gpu,atomic_and,0,1,8,4096,1,16384,int32,20,0.0256580002605915,25658.000260591507,0.59469907660482,0.59469907660482,,1.0,gfx942,b18u43,rocm/pytorch:rocm7.2_ubuntu24.04_py3.12_pytorch_release_2.10.0,9459a5e95d01ac50bd072b9c6c498a5c8f96af16,1778479244
R3_ATOMIC_AND_RELAXED,R3,v47,relaxed,gpu,atomic_and,0,1,8,4096,1,16384,int32,21,0.0256580002605915,25658.000260591507,0.59469907660482,0.59469907660482,,1.0,gfx942,b18u43,rocm/pytorch:rocm7.2_ubuntu24.04_py3.12_pytorch_release_2.10.0,9459a5e95d01ac50bd072b9c6c498a5c8f96af16,1778479244
