corpus_version,focal,interferer,K,N_PROD,N_OPS,rep,us,gpu_arch,node,ts_utc,timer
v45,P3,__none__,4,4,32,199,44.3010,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,Y,4,4,32,0,55.5260,gfx942,b21u01,2026-05-11T07:06:37.463774+00:00,cuda_event
v45,P3,Y,4,4,32,1,54.8450,gfx942,b21u01,2026-05-11T07:06:37.463774+00:00,cuda_event
v45,P3,Y,4,4,32,2,53.2810,gfx942,b21u01,2026-05-11T07:06:37.463774+00:00,cuda_event
v45,P3,Y,4,4,32,3,53.3210,gfx942,b21u01,2026-05-11T07:06:37.463774+00:00,cuda_event
v45,P3,Y,4,4,32,4,52.8800,gfx942,b21u01,2026-05-11T07:06:37.463774+00:00,cuda_event
v45,P3,Y,4,4,32,5,54.0030,gfx942,b21u01,2026-05-11T07:06:37.463774+00:00,cuda_event
v45,P3,Y,4,4,32,6,54.2030,gfx942,b21u01,2026-05-11T07:06:37.463774+00:00,cuda_event
v45,P3,Y,4,4,32,7,54.4840,gfx942,b21u01,2026-05-11T07:06:37.463774+00:00,cuda_event
v45,P3,Y,4,4,32,8,53.8420,gfx942,b21u01,2026-05-11T07:06:37.463774+00:00,cuda_event
v45,P3,Y,4,4,32,9,55.2050,gfx942,b21u01,2026-05-11T07:06:37.463774+00:00,cuda_event
v45,P3,Y,4,4,32,10,52.2390,gfx942,b21u01,2026-05-11T07:06:37.463774+00:00,cuda_event
v45,P3,Y,4,4,32,11,53.6820,gfx942,b21u01,2026-05-11T07:06:37.463774+00:00,cuda_event
v45,P3,Y,4,4,32,12,52.2790,gfx942,b21u01,2026-05-11T07:06:37.463774+00:00,cuda_event
v45,P3,Y,4,4,32,13,52.4790,gfx942,b21u01,2026-05-11T07:06:37.463774+00:00,cuda_event
v45,P3,Y,4,4,32,14,53.0000,gfx942,b21u01,2026-05-11T07:06:37.463774+00:00,cuda_event
v45,P3,Y,4,4,32,15,52.7200,gfx942,b21u01,2026-05-11T07:06:37.463774+00:00,cuda_event
v45,P3,Y,4,4,32,16,53.2010,gfx942,b21u01,2026-05-11T07:06:37.463774+00:00,cuda_event
v45,P3,Y,4,4,32,17,53.3610,gfx942,b21u01,2026-05-11T07:06:37.463774+00:00,cuda_event
v45,P3,Y,4,4,32,18,53.0810,gfx942,b21u01,2026-05-11T07:06:37.463774+00:00,cuda_event
v45,P3,Y,4,4,32,19,52.4400,gfx942,b21u01,2026-05-11T07:06:37.463774+00:00,cuda_event
v45,P3,Y,4,4,32,20,54.0830,gfx942,b21u01,2026-05-11T07:06:37.463774+00:00,cuda_event
v45,P3,Y,4,4,32,21,53.3610,gfx942,b21u01,2026-05-11T07:06:37.463774+00:00,cuda_event
v45,P3,Y,4,4,32,22,55.8070,gfx942,b21u01,2026-05-11T07:06:37.463774+00:00,cuda_event
v45,P3,Y,4,4,32,23,54.6040,gfx942,b21u01,2026-05-11T07:06:37.463774+00:00,cuda_event
v45,P3,Y,4,4,32,24,53.6820,gfx942,b21u01,2026-05-11T07:06:37.463774+00:00,cuda_event
v45,P3,Y,4,4,32,25,54.2030,gfx942,b21u01,2026-05-11T07:06:37.463774+00:00,cuda_event
v45,P3,Y,4,4,32,26,51.6770,gfx942,b21u01,2026-05-11T07:06:37.463774+00:00,cuda_event
v45,P3,Y,4,4,32,27,51.0360,gfx942,b21u01,2026-05-11T07:06:37.463774+00:00,cuda_event
v45,P3,Y,4,4,32,28,50.9950,gfx942,b21u01,2026-05-11T07:06:37.463774+00:00,cuda_event
v45,P3,Y,4,4,32,29,51.7980,gfx942,b21u01,2026-05-11T07:06:37.463774+00:00,cuda_event
v45,P3,Y,4,4,32,30,51.5570,gfx942,b21u01,2026-05-11T07:06:37.463774+00:00,cuda_event
v45,P3,Y,4,4,32,31,51.4770,gfx942,b21u01,2026-05-11T07:06:37.463774+00:00,cuda_event
v45,P3,Y,4,4,32,32,50.7950,gfx942,b21u01,2026-05-11T07:06:37.463774+00:00,cuda_event
v45,P3,Y,4,4,32,33,153.6290,gfx942,b21u01,2026-05-11T07:06:37.463774+00:00,cuda_event
