corpus_version,prim,K,N_PROD,N_OPS,rep,us,gpu_arch,node,ts_utc
v45,P3,1,3,32,12,59.3092,gfx942,b21u01,2026-05-11T06:04:26.761698+00:00
v45,P3,1,3,32,13,57.5720,gfx942,b21u01,2026-05-11T06:04:26.761698+00:00
v45,P3,1,3,32,14,58.1639,gfx942,b21u01,2026-05-11T06:04:26.761698+00:00
v45,P3,1,3,32,15,55.9848,gfx942,b21u01,2026-05-11T06:04:26.761698+00:00
v45,P3,1,3,32,16,62.2000,gfx942,b21u01,2026-05-11T06:04:26.761698+00:00
v45,P3,1,3,32,17,57.1201,gfx942,b21u01,2026-05-11T06:04:26.761698+00:00
v45,P3,1,3,32,18,58.0291,gfx942,b21u01,2026-05-11T06:04:26.761698+00:00
v45,P3,1,3,32,19,57.4579,gfx942,b21u01,2026-05-11T06:04:26.761698+00:00
v45,P3,1,3,32,20,56.7869,gfx942,b21u01,2026-05-11T06:04:26.761698+00:00
v45,P3,1,3,32,21,56.9751,gfx942,b21u01,2026-05-11T06:04:26.761698+00:00
v45,P3,1,3,32,22,57.1329,gfx942,b21u01,2026-05-11T06:04:26.761698+00:00
v45,P3,1,3,32,23,58.2749,gfx942,b21u01,2026-05-11T06:04:26.761698+00:00
v45,P3,1,3,32,24,57.3799,gfx942,b21u01,2026-05-11T06:04:26.761698+00:00
v45,P3,1,3,64,0,99.3549,gfx942,b21u01,2026-05-11T06:04:26.793593+00:00
v45,P3,1,3,64,1,97.7861,gfx942,b21u01,2026-05-11T06:04:26.793593+00:00
v45,P3,1,3,64,2,96.2249,gfx942,b21u01,2026-05-11T06:04:26.793593+00:00
v45,P3,1,3,64,3,94.7260,gfx942,b21u01,2026-05-11T06:04:26.793593+00:00
v45,P3,1,3,64,4,112.9590,gfx942,b21u01,2026-05-11T06:04:26.793593+00:00
v45,P3,1,3,64,5,95.8249,gfx942,b21u01,2026-05-11T06:04:26.793593+00:00
v45,P3,1,3,64,6,94.9542,gfx942,b21u01,2026-05-11T06:04:26.793593+00:00
v45,P3,1,3,64,7,93.9660,gfx942,b21u01,2026-05-11T06:04:26.793593+00:00
v45,P3,1,3,64,8,93.8261,gfx942,b21u01,2026-05-11T06:04:26.793593+00:00
v45,P3,1,3,64,9,96.1509,gfx942,b21u01,2026-05-11T06:04:26.793593+00:00
v45,P3,1,3,64,10,94.6710,gfx942,b21u01,2026-05-11T06:04:26.793593+00:00
v45,P3,1,3,64,11,90.9481,gfx942,b21u01,2026-05-11T06:04:26.793593+00:00
v45,P3,1,3,64,12,94.3549,gfx942,b21u01,2026-05-11T06:04:26.793593+00:00
v45,P3,1,3,64,13,96.2189,gfx942,b21u01,2026-05-11T06:04:26.793593+00:00
v45,P3,1,3,64,14,95.8450,gfx942,b21u01,2026-05-11T06:04:26.793593+00:00
v45,P3,1,3,64,15,91.7702,gfx942,b21u01,2026-05-11T06:04:26.793593+00:00
v45,P3,1,3,64,16,95.1311,gfx942,b21u01,2026-05-11T06:04:26.793593+00:00
v45,P3,1,3,64,17,97.1800,gfx942,b21u01,2026-05-11T06:04:26.793593+00:00
v45,P3,1,3,64,18,96.0082,gfx942,b21u01,2026-05-11T06:04:26.793593+00:00
v45,P3,1,3,64,19,92.1309,gfx942,b21u01,2026-05-11T06:04:26.793593+00:00
v45,P3,1,3,64,20,99.5051,gfx942,b21u01,2026-05-11T06:04:26.793593+00:00
v45,P3,1,3,64,21,95.1721,gfx942,b21u01,2026-05-11T06:04:26.793593+00:00
v45,P3,1,3,64,22,96.3218,gfx942,b21u01,2026-05-11T06:04:26.793593+00:00
v45,P3,1,3,64,23,93.3360,gfx942,b21u01,2026-05-11T06:04:26.793593+00:00
v45,P3,1,3,64,24,95.7530,gfx942,b21u01,2026-05-11T06:04:26.793593+00:00
v45,P3,1,3,128,0,179.5338,gfx942,b21u01,2026-05-11T06:04:26.828225+00:00
v45,P3,1,3,128,1,172.5990,gfx942,b21u01,2026-05-11T06:04:26.828225+00:00
v45,P3,1,3,128,2,167.7109,gfx942,b21u01,2026-05-11T06:04:26.828225+00:00
v45,P3,1,3,128,3,168.1650,gfx942,b21u01,2026-05-11T06:04:26.828225+00:00
v45,P3,1,3,128,4,174.8099,gfx942,b21u01,2026-05-11T06:04:26.828225+00:00
v45,P3,1,3,128,5,171.0190,gfx942,b21u01,2026-05-11T06:04:26.828225+00:00
v45,P3,1,3,128,6,167.0890,gfx942,b21u01,2026-05-11T06:04:26.828225+00:00
v45,P3,1,3,128,7,163.0760,gfx942,b21u01,2026-05-11T06:04:26.828225+00:00
v45,P3,1,3,128,8,165.9489,gfx942,b21u01,2026-05-11T06:04:26.828225+00:00
v45,P3,1,3,128,9,172.8621,gfx942,b21u01,2026-05-11T06:04:26.828225+00:00
v45,P3,1,3,128,10,168.1249,gfx942,b21u01,2026-05-11T06:04:26.828225+00:00
v45,P3,1,3,128,11,165.1919,gfx942,b21u01,2026-05-11T06:04:26.828225+00:00
v45,P3,1,3,128,12,167.3822,gfx942,b21u01,2026-05-11T06:04:26.828225+00:00
