corpus_version,prim,K,N_PROD,N_OPS,rep,us,gpu_arch,node,ts_utc,timer
v45,M3,4,4,32,119,35.1190,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,120,36.1620,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,121,36.0820,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,122,36.1220,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,123,35.5210,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,124,36.0820,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,125,35.2400,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,126,37.1240,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,127,36.8040,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,128,37.1640,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,129,36.0020,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,130,36.0020,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,131,36.4030,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,132,38.3670,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,133,34.9190,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,134,36.2820,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,135,35.2400,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,136,38.0460,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,137,35.5600,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,138,36.2020,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,139,35.6810,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,140,36.2820,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,141,33.9970,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,142,36.0820,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,143,36.1220,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,144,36.6840,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
